code,name,status,codeforiati:organisation-type-code,codeforiati:hq-country-or-region,codeforiati:organisation-type,codeforiati:registry-identifier
ZA-NPO-025-359,mothers2mothers,active,21,South Africa,International NGO,m2m_sa
NL-KVK-34214586,Partos,active,22,Netherlands,National NGO,partos_nl
XM-DAC-41304,"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)",active,40,France,Multilateral,unesco
GB-CHC-1157009,Abaseen Foundation UK,active,21,United Kingdom,International NGO,abaseen
ML-NIF-086108989R,Association de Soutien au Développement des Activités de Population,active,22,Mali,National NGO,asdap
BD-NAB-0203,"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",active,22,Bangladesh,National NGO,bapsa
GB-CHC-1069182,International Service,active,21,United Kingdom,International NGO,unais
GB-COH-06133927,Avanti Communications Plc,active,70,United Kingdom,Private Sector,ava_admin
GH-DSW-258,Amigos de la Tierra Ghana,active,22,Ghana,National NGO,foe-ghana
XM-DAC-918-3,Banco Europeo de Inversiones,active,40,(No country assigned),Multilateral,eib
GB-CHC-1084729,World Child Cancer UK,active,21,United Kingdom,International NGO,wccuk
MZ-MOJ-F2G1No4,Magariro,active,22,Mozambique,National NGO,magariro
XI-IATI-EBRD,Banco Europeo de Reconstrucción y Desarrollo,active,40,"Bilateral, unspecified",Multilateral,ebrd
GB-CHC-000391,The Open University,active,80,United Kingdom,"Academic, Training and Research",open_university
GB-CHC-1038785,Mifumi UK,active,21,United Kingdom,International NGO,mifumi_uk
GB-CHC-1094272,Project Harar,active,21,United Kingdom,International NGO,phe
XM-DAC-77,Rumania: Ministerio de Asuntos Exteriores,active,10,Romania,Government,uasd
XI-IATI-1001,The Coca-Cola Export Corporation,active,70,United States,Private Sector,tccec
GB-CHC-1125217,Welbodi Partnership,active,80,United Kingdom,"Academic, Training and Research",welbodipartnership
FI-PRO-143138,Kepa ry,active,22,Finland,National NGO,kepa
KE-NCB-OP/218/051/915/65,Windle Trust Kenya,active,22,Kenya,National NGO,wtk
NL-KVK-41048542,Stichting Agriterra,active,60,Netherlands,Foundation,agriterra
UG-NGB-5914-7209,Cheshire Services Uganda,withdrawn,22,Uganda,National NGO,csu
GB-CHC-1150214,Carers Worldwide,active,21,United Kingdom,International NGO,cww
GB-CHC-1054369,KwaAfrica,active,21,United Kingdom,International NGO,kwaafrica
KE-NGC-663,Agencia Adventista de Desarrollo y Recursos Asistenciales (ADRA Somalia),active,21,Somalia,International NGO,adrasom
MZ-MOJ-F30G1No89,ANDA,active,22,Mozambique,National NGO,anda
GB-CHC-1117528,Haiti Hospital Appeal,active,21,United Kingdom,International NGO,hha
NL-KVK-30285304,Stichting Humana,active,21,Netherlands,International NGO,humana_houben
GB-CHC-1148404,Internews Europe,active,21,United Kingdom,International NGO,ieu
NL-KVK-41217404,GPPAC Foundation,active,21,Netherlands,International NGO,gppac
GB-COH-NI011322,War on Want NI,active,21,United Kingdom,International NGO,wowni
GB-CHC-1123946,Youth Business International,active,21,United Kingdom,International NGO,ybi
GB-CHC-1049160,Anti-Slavery International,active,21,United Kingdom,International NGO,asil
XM-DAC-2-10,Belgian Development Cooperation,active,10,Belgium,Government,be-dgd
GB-COH-1110949,Mott MacDonald Limited,active,70,United Kingdom,Private Sector,mml
US-EIN-941191246,The Asia Foundation,active,21,United States,International NGO,taf
GB-CHC-1129603,Cyan International,active,21,United Kingdom,International NGO,cyan
GB-SC-SC012302,Scottish Catholic International Aid Fund (SCIAF),active,21,United Kingdom,International NGO,sciaf
GB-CHC-1151615,Signal,active,21,United Kingdom,International NGO,signal
CH-FDJP-CHE109668357,Lemann Foundation,active,60,Switzerland,Foundation,lemann
UG-NGB-5914-9186,CRANE,active,22,Uganda,National NGO,crane
GB-CHC-1076235,BBC Media Action,active,21,United Kingdom,International NGO,bbcmediaaction
US-EIN-20-4451390,Natural Resource Governance Institute (NRGI),active,21,United States,International NGO,nrgi
SK-ZRSR-31784828,Pontis Foundation,active,60,Slovakia,Foundation,pontis
NO-BRC-971277882,"Norad, Organismo Noruego de Cooperación para el Desarrollo",active,10,Norway,Government,norad
US-EIN-20-3690821,Iniciativa para los Derechos y los Recursos,active,21,United States,International NGO,rri
KE-RCO-C95110,,active,60,Kenya,Foundation,kcdf
US-EIN-81-3014704,Syria Justice and Accountability Centre (SJAC),active,22,United States,National NGO,sjac
XI-IATI-5914-1107,Strømme Foundation,active,22,Uganda,National NGO,stromme_ug
GB-CHC-1122299,Interburns,active,21,United Kingdom,International NGO,interburns
GB-COH-06368740,Development Initiatives Poverty Research,active,21,United Kingdom,International NGO,dipr
GB-CHC-294329,Progressio (cerrado),active,21,United Kingdom,International NGO,progressio
US-EIN-52-1826242,,active,21,United States,International NGO,tan
CA-CRA_ACR-127202349,Instituto Internacional para el Desarrollo Sostenible,active,21,Canada,International NGO,iisd
GB-GOV-24,Office for National Statistics,active,10,United Kingdom,Government,ons
GB-CHC-285908,World Vision UK,active,21,United Kingdom,International NGO,wvuk
GB-COH-3031674,Traidcraft Exchange,active,21,United Kingdom,International NGO,traidcraft
DE-CR-RA000217-HRB157125B,Wayamo Foundation,active,21,Germany,International NGO,wayamo
GB-COH-294860,ADD International (Action on Disability and Development),active,21,United Kingdom,International NGO,addinternational
GB-CHC-1076497,Sense International,active,21,United Kingdom,International NGO,sense_international
GB-CHC-1142476,Friends of Kipkelion,active,23,Kenya,Regional NGO,kipkelion
GB-CHC-1050327,The Leprosy Mission England and Wales,active,21,United Kingdom,International NGO,tlmew
NL-KVK-41155934,,active,21,Netherlands,International NGO,vso_nl
GB-CHC-1089490,Hope and Homes for Children,active,21,United Kingdom,International NGO,hhc
GB-CHC-1156822,Welsh Centre for International Affairs,active,22,United Kingdom,National NGO,wcia
KE-NCB-OP218051200904966065,Pan African Climate Justice Alliance,active,21,Kenya,International NGO,pacja
GB-COH-11126312,Global Disability Innovation Hub,active,80,United Kingdom,"Academic, Training and Research",gdihub
GB-COH-OC301540,KPMG LLP,active,70,United Kingdom,Private Sector,kpmgllp
GB-COH-05393391,,active,21,United Kingdom,International NGO,galvmed
GB-CH-05393391,,withdrawn,21,United Kingdom,International NGO,galvmed
UG-NGB-63360,Protecting Families Against HIV/AIDS,active,22,Uganda,National NGO,prefa_1
NL-KVK-27293385,"WO=MEN, Dutch Gender Platform",active,22,Netherlands,National NGO,wo-men
VN-MOST-A399,,active,22,Viet Nam,National NGO,cdi_vn_2021
IN-MCA-U74999DL2004NPL131340,Oxfam India,active,22,India,National NGO,oxfamindia
GB-SC-035056,International Primary Care Respiratory Group,active,80,United Kingdom,"Academic, Training and Research",ipcrg
NL-KVK-41217595,Stichting ActionAId,active,21,Netherlands,International NGO,aanl
DK-CVR-88136411,Oxfam IBIS,active,21,Denmark,International NGO,ibis_denmark
NL-KVK-41160054,Cordaid,active,21,Netherlands,International NGO,cordaid
NP-SWC-27693,Aasaman Nepal,active,22,Nepal,National NGO,aasaman
MZ-MOJ-203D,Alfalit,active,22,Mozambique,National NGO,alfalit
NL-KVK-08215619-201210000,Kadaster International,active,10,Netherlands,Government,kad
NL-KVK-41077447,Centro Europeo para la Administración de Políticas de Desarrollo,active,80,Netherlands,"Academic, Training and Research",ecdpm
GB-CHC-1067406,Médicos del Mundo Reino Unido,active,21,United Kingdom,International NGO,dotw_uk
GB-CHC-1046001,Disability and Development Partners,active,21,United Kingdom,International NGO,ddp
PK-NTN-6110190392611,,active,80,Pakistan,"Academic, Training and Research",aaip
GB-CHC-1113868,Hand in Hand International,active,21,United Kingdom,International NGO,handinhand
BD-NAB-1301,Transparencia Internacional Bangladesh,active,22,Bangladesh,National NGO,tib
BE-BCE_KBO-0464019195,,active,21,Belgium,International NGO,apopo
NL-KVK-61172863,Stichting fondsbeheer DGGF lokaal MKB,active,60,Netherlands,Foundation,dggf_financing_local_smes
US-EIN-042347643,Abt Associates Inc,active,70,United States,Private Sector,abt
XM-DAC-84,Lituania: Ministerio de Asuntos Exteriores,active,10,Lithuania,Government,lithuania_mfa
IE-CHY-6998,Christian Aid Irlanda,active,21,Ireland,International NGO,caid_ireland
NL-KVK-34308169,Free a Girl,active,60,Netherlands,Foundation,freeagirl
XI-IATI-1002,United Mission to Nepal,active,21,Nepal,International NGO,umn
GB-COH-1134415,MADE in Europe,active,21,United Kingdom,International NGO,mie-1134415
GB-CHC-214779,The Salvation Army International Development UK,active,21,United Kingdom,International NGO,said-uk
US-EIN-13-3287064NAM,InterAction's NGO Aid Map,withdrawn,21,United States,International NGO,ia_nam
GB-CHC-1145119,Varkey Foundation,active,21,Ghana,International NGO,varkeyfoundation
NL-KVK-34197379,dance4life,active,21,Netherlands,International NGO,dance4life
US-EIN-95-3202116,Visión Mundial Internacional,active,21,United States,International NGO,wvi
GB-CHC-1105277,Learning for Life,active,21,United Kingdom,International NGO,learningforlife
GB-CHC-1061352,Orbis Charitable Trust,active,21,United Kingdom,International NGO,orbis_uk
GB-GOV-21,Reino Unido: Gobierno de Escocia,active,10,United Kingdom,Government,scottish_government
GB-COH-2695347,Options Consultancy Services,active,70,United Kingdom,Private Sector,options
NL-KVK-41149287,Terre des Hommes Netherlands,active,21,Netherlands,International NGO,tdh_nl
GB-CHC-1110434,WellFound,active,21,United Kingdom,International NGO,wellfound
NL-KVK-41149486,Stichting Vluchteling,active,21,Netherlands,International NGO,st_vluchteling
GB-CHC-1133342,Zing,active,60,United Kingdom,Foundation,zing
NL-KVK-41009723,ZOA,active,21,Netherlands,International NGO,zoa
NL-KVK-41223308,Stichting Onderzoek Multinationale Ondernemingen (SOMO),active,80,Netherlands,"Academic, Training and Research",somo
NL-KVK-06702132,WYG International B.V.,active,70,United Kingdom,Private Sector,wygi
GB-COH-1869600,Itad,active,70,United Kingdom,Private Sector,itad
GB-COH-03122495,Oxford Policy Management,active,70,United Kingdom,Private Sector,opml
GB-COH-SC301345,Upper Quartile,active,70,United Kingdom,Private Sector,uq
NL-KVK-32037590,International Procurement Agency,active,70,Netherlands,Private Sector,ipa
GB-COH-02768268,Nathan Associates London Ltd.,active,70,United Kingdom,Private Sector,nathan
GB-COH-5155300,Alcis Holdings Limited,active,70,United Kingdom,Private Sector,alcis
mz-moj-64vq1,Ajuda de Desenvolvimento de Povo para Povo (ADPP),active,22,Mozambique,National NGO,adpp
GB-COH-2394229,Palladium International Ltd (Reino Unido),active,70,United Kingdom,Private Sector,palladium
FI-PRO-1498487-2,Plan International Finland,active,21,Finland,International NGO,planinternationalfinland
NL-KVK-41193594,Rutgers,active,21,Netherlands,International NGO,rutgers
GB-COH-00637978,Maxwell Stamp PLC,active,70,United Kingdom,Private Sector,mstamp
KE-NCB-218-051-9341-334,Academia Africana de Ciencias,active,21,Kenya,International NGO,aas
GB-CHC-1101217,LAMB Health Care Foundation,active,22,United Kingdom,National NGO,lhcf
GB-COH-03580586,PwC,active,70,United Kingdom,Private Sector,pwc
GB-CHC-1048007,Link Community Development International,active,21,United Kingdom,International NGO,lcdi_admin
NG-CAC-RC481360,The Convention on Business Integrity,active,21,Nigeria,International NGO,cbi-nigeria
GB-COH-1574821,Landell Mills,active,70,United Kingdom,Private Sector,landell-mills
GB-COH-00986729,"Instituto de Recursos Naturales, Universidad de Greenwich",active,80,United Kingdom,"Academic, Training and Research",nri
NL-KVK-41215393,War Child Holland,active,21,Netherlands,International NGO,warchildholland
GB-COH-01245534,Atos IT Services Ltd,active,70,United Kingdom,Private Sector,atosuk
NL-KVK-41158230,CARE Nederland,active,21,Netherlands,International NGO,carenederland
GB-COH-03613839,IOD PARC,active,70,United Kingdom,Private Sector,iodparc
NL-KVK-41210820,Campaña Ropa Limpia,active,21,Netherlands,International NGO,ccc
GB-COH-FC012665,McKinsey & Company,active,70,(No country assigned),Private Sector,mck
GB-COH-08327972,Aktis Strategy Ltd,active,70,United Kingdom,Private Sector,aktis
NL-KVK-41236410,Dorcas Aid International,active,21,Netherlands,International NGO,dai
US-GOV-18,,active,10,United States,Government,millenniumchallenge
US-18,Millennium Challenge Corporation,withdrawn,10,United States,Government,millenniumchallenge
NL-KVK-41202535,Mama Cash,active,60,Netherlands,Foundation,mamac
GB-COH-8835431,Simprints,active,21,United Kingdom,International NGO,simprints
GB-CHC-1158206,Water Works,active,21,United Kingdom,International NGO,waterworks
NL-KVK-30214009,PAX,active,21,Netherlands,International NGO,pax
NL-KVK-27284008,DECP,active,22,Netherlands,National NGO,decp
CO-CCB-00159397,Fondo de Acción Urgente para América Latina y el Caribe,active,23,Colombia,Regional NGO,uafla
US-EIN-03-0419743,Urgent Action Fund for Women's Human Rights,active,21,United States,International NGO,uaf
NL-KVK-41177385,Tearfund Nederland,active,22,Netherlands,National NGO,tear
NL-KVK-41152786,"SNV, Servicio Holandés de Cooperación al Desarrollo",active,21,Netherlands,International NGO,snv
NL-KVK-41167934,Stichting Kinderpostzegels Nederland,active,21,Netherlands,International NGO,skn
US-EIN-522044704,Aeras,active,21,United States,International NGO,aeras
US-EIN-06-1597-668,Just Associates,active,21,United States,International NGO,jass
IN-MHA-083781496,,active,22,India,National NGO,fhf
US-EIN-521291786,Asociación para los Derechos de las Mujeres y el Desarrollo (AWID),active,21,United States,International NGO,awid
NL-KVK-41179943,World Vision Netherlands,active,60,Netherlands,Foundation,wvnld
NL-KVK-41201463,Save the Children Netherlands,active,21,Netherlands,International NGO,scnl
NL-KVK-41151952,IRC,active,21,Netherlands,International NGO,irc
XM-OCHA-CERF,Fondo Central para la Acción en Casos de Emergencia l de las Naciones Unidas (CERF),active,40,United States,Multilateral,cerf
NL-KVK-34106722,AWEPA,active,21,Netherlands,International NGO,awepa
NL-KVK-40594571,Simavi,active,60,Netherlands,Foundation,simavi
NL-KVK-41118168,Stichting Woord en Daad,active,21,Netherlands,International NGO,w-d
NL-KVK-41198890,Plan International Netherlands,active,21,Netherlands,International NGO,plannlno
XI-IATI-OFID,Fondo de la OPEP para el Desarrollo Internacional,active,40,Austria,Multilateral,ofid
XI-IATI-CWSEC,Secretaría del Commonwealth,active,40,(No country assigned),Multilateral,commonwealthsecretariat
NL-KVK-41201644,Wemos Foundation,active,21,Netherlands,International NGO,wemos
US-EIN-26-1931968,Promundo-US,active,21,United States,International NGO,pmo-us
NL-KVK-33185213,Instituto Real Tropical,active,21,Netherlands,International NGO,kit
NL-KVK-41207580,Stichting Health Action International,active,60,Netherlands,Foundation,hai
NI-MIGOB-3602,Fondo Centroamericano de Mujeres,active,60,Nicaragua,Foundation,fcam
NL-KVK-34159275,UTZ,active,21,Netherlands,International NGO,utz
NL-KVK-41207989,Aidsfonds - Soa Aids Nederland,active,21,Netherlands,International NGO,nl-kvk-41207989
UG-RSB-73316,African Centre for Global Health and Social Transformation,active,21,Uganda,International NGO,achest
ZW-PVO-WO1789,Family Aids Caring Trust,active,22,Zimbabwe,National NGO,fact
GB-CHC-222655,Escuela de Medicina Tropical de Liverpool,active,80,United Kingdom,"Academic, Training and Research",lstm
KE-NCB-200201282375,Urgent Action Fund Africa,active,23,Kenya,Regional NGO,uaf-africa
GB-CHC-1142516,ColaLife,active,22,United Kingdom,National NGO,colalife
XM-DAC-47059,Organización Internacional de Derecho para el Desarrollo (IDLO),active,40,Italy,Multilateral,idlo
NL-KVK-41149831,Mensen met een Missie,active,22,Netherlands,National NGO,mm1
NL-KVK-30204842,Netherlands Food Partnership,active,60,Netherlands,Foundation,nfp
NL-KVK-41208813,Defence for Children International Netherlands - ECPAT Netherlands,active,22,Netherlands,National NGO,dciecpatnl
XM-DAC-41302,Organización Internacional del Trabajo (OIT),active,40,Switzerland,Multilateral,ilo
NL-KVK-27189542,Instituto Holandés para la Democracia Multipartidaria,active,21,Netherlands,International NGO,nimd-hq
NL-KVK-40530467,Milieudefensie,active,22,Netherlands,National NGO,foenl
US-EIN-47-4128047,Friends of Publish What You Fund,active,21,United States,International NGO,friendsofpwyf
BD-ROC-S-12313,,active,80,Bangladesh,"Academic, Training and Research",bpcrs
NL-KVK-58183167,HE Foundation,active,60,Netherlands,Foundation,hefoundation
KE-NCB-93175,Amref Health Africa Kenya,active,21,Kenya,International NGO,amrefkenya
NL-KVK-41150939,Solidaridad Europe,active,21,Netherlands,International NGO,solidaridad-europe
UG-RSB-29587,,active,22,Uganda,National NGO,fidauganda
US-EIN-31-1812979,CREA,active,21,India,International NGO,creausa-org
NL-KVK-52957535,Free Press Unlimited,active,21,Netherlands,International NGO,free_press_unlimited
NL-KVK-41172933,WASTE advisers on urban environment and development,active,60,Netherlands,Foundation,waste
FR-SIRET-77566669600015,SECOURS CATHOLIQUE - CÁRITAS FRANCIA,active,21,France,International NGO,sccf
GB-CHC-1062638,Disasters Emergency Committee,active,22,United Kingdom,National NGO,dec-uk
US-EIN-91-1179750,,active,21,United States,International NGO,pbi_io
NL-KVK-40409352,Cruz Roja de los Países Bajos,active,21,Netherlands,International NGO,nlrc
XI-IATI-IKI,Iniciativa Internacional para el Clima / BMU - IKI Secretariat,active,10,Germany,Government,bmu_iki
NL-KVK-51756811,Solidaridad,active,21,Netherlands,International NGO,solidaridad
NL-KVK-34111374,Fair Wear Foundation,active,21,Netherlands,International NGO,fwf
NL-KVK-40530953,Amnistía Internacional Países Bajos,active,21,Netherlands,International NGO,amnesty
NL-KvK-41177601,Mondiaal FNV,active,22,Netherlands,National NGO,mondiaalfnv
NL-KVK-41177588,WNF Wereld Natuur Fonds,active,21,Netherlands,International NGO,wnf
AU-ACNC-19242959685,International Women's Development Agency,active,21,Australia,International NGO,iwda
NL-KVK-41180885,IUCN Nederlands Comité,active,21,Netherlands,International NGO,iucn_nl
NL-KVK-41155305,Tropenbos International,active,21,Netherlands,International NGO,tbi
ZA-PBO-064-502,Sonke Gender Justice,active,21,South Africa,International NGO,sjg
NL-KVK-27267681,Centro del Clima de la Cruz Roja y de la Media Luna Roja,active,21,Netherlands,International NGO,climate_centre
NL-KVK-9099028,Wetlands International,active,21,(No country assigned),International NGO,wi
PK-VSWA-511-2007,Acid Survivors Foundation,active,22,Pakistan,National NGO,_admin
NL-KVK-54436222,CNV Internationaal,active,22,Netherlands,National NGO,nl-kvk-54436222-27541
GB-COH-01846493,AECOM,active,70,United Kingdom,Private Sector,aecom
GB-CHC-1160256,,active,21,United Kingdom,International NGO,read-foundation
BE-BCE_KBO-0410057701,Instituto de Medicina Tropical,active,15,Belgium,Other Public Sector,itm
ZW-ROD-2172,,active,22,Zimbabwe,National NGO,galz
BE-BCE_KBO-0264814354,Agencia Belga para el Desarrollo (Enabel),active,10,Belgium,Government,enabel
GB-CHC-287287,Centro para la Investigación en Política Económica,active,22,United Kingdom,National NGO,cepr
NL-KVK-41197577,Aldeas Infantiles SOS Países Bajos,active,60,Netherlands,Foundation,sosnl
NL-KVK-41211943,HealthNet TPO,active,21,Netherlands,International NGO,healthnet
GB-SC-SCO45223,Mary's Meals,active,21,United Kingdom,International NGO,marysmeals
AF-MOE-1212,Afghanistan Public Policy Research Organization (APPRO),active,80,Afghanistan,"Academic, Training and Research",appro-af
GB-COH-04105827,MannionDaniels,active,70,United Kingdom,Private Sector,manniondaniels
BE-GTCF-630789842,APPRO-Europe,active,80,Belgium,"Academic, Training and Research",appro-eu
NL-KVK-27195046,VNG International,active,15,Netherlands,Other Public Sector,vngi
KE-RCO-C1-61,Sede de Amref Health Africa,active,21,Kenya,International NGO,amrefhq
NL-KVK-09098104,"Universidad y Centro de Investigación de Wagenigen, Stichting Wageningen Research",active,80,Netherlands,"Academic, Training and Research",wageningen_ur
NL-KVK-27078545,FMO,active,30,Netherlands,Public Private Partnership,fmo
GB-COH-03846881,Social Development Direct Limited,active,70,United Kingdom,Private Sector,sddirect
XI-IATI-CABI,CABI,active,40,(No country assigned),Multilateral,cabi
US-EIN-52-1764268,BSR,active,21,United States,International NGO,bsr_admin
GB-COH-07964746,,active,70,United Kingdom,Private Sector,satelliteapplicationscatapultltd
GB-COH-11080032,,active,70,United Kingdom,Private Sector,medaccess
NL-KVK-40530156,COC Nederland,active,22,Netherlands,National NGO,cocnl_publisher
NL-KVK-41078390,European Journalism Centre,active,22,Netherlands,National NGO,ejc
KR-GOV-010,República de Corea,active,10,Korea (Republic of),Government,odakorea
ET-MFA-0001989741,Amref Health Africa in Ethiopia,active,21,Ethiopia,International NGO,amrefeth
GB-COH-02651349,IMC WORLDWIDE,active,70,United Kingdom,Private Sector,imcw_admin
IN-MCA-U74140DL1998PLC097579,IPE Global Limited,active,70,India,Private Sector,ipeglobal
GB-CHC-209603,Royal National Lifeboat Institution (RNLI),active,21,United Kingdom,International NGO,rnli_international
GB-COH-05543952,Cardno Emerging Markets,active,70,United Kingdom,Private Sector,cardnoem
MW-NBM-R1527,Amref Health Africa Malawi,active,22,Malawi,National NGO,amrefmw
XI-IATI-WAI,WASH Alliance International,active,21,Netherlands,International NGO,wai
GB-CHC-1148143,Stakeholder Democracy Network,active,21,United Kingdom,International NGO,sdn
GB-COH-04354941,Sound Seekers Limited,active,21,United Kingdom,International NGO,soundseekers
US-DOS-64562614,One Acre Fund,active,21,(No country assigned),International NGO,oneacrefund
MW-CNM-BCM-CF,Baylor College of Medicine Children's Foundation Malawi,active,22,Malawi,National NGO,bcm-cf
UG-NGB-5914-252,Amref Health Africa in Uganda,active,22,Uganda,National NGO,amrefug
GB-CHC-228248,Instituto de Desarrollo de Ultramar,active,80,United Kingdom,"Academic, Training and Research",odi
NL-KVK-53521129,"IDH, The Sustainable Trade Initiative",active,21,Netherlands,International NGO,idh
MW-CNM-C076-1999,Youth Net and Counselling - YONECO,active,22,Malawi,National NGO,yoneco1997
XM-DAC-69-1,Ministerio de Asuntos Exteriores y Europeos de la República Eslovaca,active,10,Slovakia,Government,slovakaid
US-EIN-20-1173866,Omidyar Network Fund Inc.,active,60,United States,Foundation,omidyarnetwork
CA-CRA_ACR-101182509,Cowater International Inc,active,70,Canada,Private Sector,cowater
ZA-NPO-057-611,,active,23,South Africa,Regional NGO,nj_1
FI-PRO-139407,Cáritas Finlandia,active,22,Finland,National NGO,caritasfin
XM-DAC-903,Corporación Financiera Internacional,active,40,United States,Multilateral,ifcwbg
US-EIN-550825466,IntraHealth International,active,21,United States,International NGO,intrahealth
NL-KVK-855689493,Stichting Mayday Rescue Foundation,active,60,Netherlands,Foundation,maydayrescue
GB-COH-08828458,International Network of People who Use Drugs (INPUD),active,21,United Kingdom,International NGO,inpud_admin
US-EIN-13-4128413,Global Alliance for TB Drug Development,active,80,United States,"Academic, Training and Research",tb-a
NL-KVK-41146461,Stichting Deltares,active,60,Netherlands,Foundation,deltares
NO-BRC-871033552,Norwegian People's Aid,active,21,Norway,International NGO,npa
GB-CHC-1145640,The Queen Elizabeth Diamond Jubilee Trust,active,60,United Kingdom,Foundation,qedjt
ZA-PBO-930040668,Orbis Africa,active,21,South Africa,International NGO,orbis_africa
XM-DAC-1409,Enhanced Integrated Framework,active,40,Switzerland,Multilateral,eif
IM-CR-024714B,Openmindedly,active,70,Isle of Man,Private Sector,openmindedly
GB-COH-08333641,Delivery Associates Ltd,active,70,United Kingdom,Private Sector,delivery_associates
XM-DAC-41110,Secretaría del Programa Conjunto de las Naciones Unidas sobre el VIH/Sida (ONUSIDA),active,40,Switzerland,Multilateral,unaids
NL-KVK-41209946,Mainline,active,60,Netherlands,Foundation,mainline
GB-COH-SC100833,LTS International Limited,active,70,United Kingdom,Private Sector,lts
GB-CHC-1126281,Human Relief Foundation,active,21,United Kingdom,International NGO,hrf
US-EIN-262681792,International Initiative for Impact Evaluation,active,21,United States,International NGO,3ie
BE-BCE_KBO-0453975341,Search for Common Ground (SFCG),active,21,Belgium,International NGO,sfcg
BE-BCE_KBO-0453475391,Search for Common Ground (SFCG),withdrawn,21,Belgium,International NGO,sfcg
US-EIN-13-5660870,International Rescue Committee,active,21,United States,International NGO,irc_inc
NP-SWC-27288,Burns Violence Survivors Nepal,active,22,Nepal,National NGO,bvs-nepal
US-EIN-13-3960591,,active,21,United States,International NGO,social_accountability_international
NL-KVK-56083459,Women Peacemakers Program,active,21,Netherlands,International NGO,wpp
GB-COH-01650169,Ecorys Reino Unido,active,70,United Kingdom,Private Sector,ecuk
US-EIN-471065461,The Global Forum on MSM & HIV (MSMGF),active,21,United States,International NGO,msmgf
US-EIN-56-1071085,Ipas,active,21,United States,International NGO,ipas
NG-CAC-495140,Women Environmental Programme,active,22,Nigeria,National NGO,wep
DK-CVR-36980214,DanChurchAid,active,21,Denmark,International NGO,dca
NL-KVK-41214768,Global Network of People Living with HIV (GNP+),active,21,Netherlands,International NGO,gnpplus
BO-NIT-1013209020,,active,21,Bolivia,International NGO,wwf_bolivia
GB-COH-08705643,,active,15,United Kingdom,Other Public Sector,ktn
GB-COH-SC349355,Red Global de Proyectos de Trabajo Sexual (NSWP),active,21,United Kingdom,International NGO,nswp
NL-KVK-34219433,Max Foundation,active,60,Netherlands,Foundation,max-foundation
CH-FDJP-66029860165,Alianza Internacional de Discapacidad,active,21,Switzerland,International NGO,ida
US-EIN-27-5026463,Disability Rights Advocacy Fund,active,21,United States,International NGO,draf
DK-CVR-29439915,Cáritas Dinamarca,active,22,Denmark,National NGO,caritas_denmark
NL-KVK-66926262,Win Win Strategies,active,21,Netherlands,International NGO,wws
GB-COH-03054929,DAI Global Health,active,70,United Kingdom,Private Sector,healthpartners-international
GB-COH-OC305127,BDO LLP,active,70,United Kingdom,Private Sector,bdo
US-EIN-203908371,Foro Económico Mundial,active,21,United States,International NGO,worldeconomicforum
BW-CIPA-CO20151011,Coalición Internacional de Preparación para el Tratamiento (ITPC),active,21,Botswana,International NGO,itpc
TZ-BRLA-4368,Amref Health Africa in Tanzania,active,21,"Tanzania, United Republic of",International NGO,amreftz
US-EIN-52-1238773,Women's Environment & Development Organization,active,21,United States,International NGO,wedo
GB-COH-NI630024,Siren Associates,active,70,United Kingdom,Private Sector,siren
GB-COH-8159144,Construction Sector Transparency Initiative (CoST),active,21,(No country assigned),International NGO,cost_uk
NL-KVK-32022621,,active,21,Netherlands,International NGO,rnw_org
BE-BCE_KBO-0550758080,Instituto Europeo de la Paz,active,15,Belgium,Other Public Sector,eip
NL-KVK-33226495,Atradius Dutch State Business,active,70,Netherlands,Private Sector,adsb
ZA-NPO-029-864,"CIVICUS, Alianza Mundial para la Participación Ciudadana",active,21,South Africa,International NGO,civicus
NG-CAC-IT-23286,Centre For Citizens With Disabilities,active,22,Nigeria,National NGO,ccdnigeria
XI-IATI-UNPF,Fondos mancomunados de las Naciones Unidas,active,40,(No country assigned),Multilateral,unpf
CH-FDJP-66006990023,ACT Alliance,active,21,Switzerland,International NGO,act_alliance
NL-KVK-30258482,,active,21,Netherlands,International NGO,kerk_in_actie
XM-DAC-47064,Organización Internacional del Bambú y el Ratán (INBAR),active,40,(No country assigned),Multilateral,inbar
NL-KVK-27251823,Support Trust for Africa Development (STAD),active,21,Netherlands,International NGO,stad
XM-DAC-5-52,,active,15,Germany,Other Public Sector,giz
XM-DAC-236,Ministerio de Economía y Finanzas de Benin,active,10,Benin,Government,mefbenin
DK-CVR-44623528,COWI,active,15,Denmark,Other Public Sector,cowi
NL-KVK-34148682,AFEW International,active,21,Netherlands,International NGO,afewinternational
XM-DAC-30011,Unión Internacional para la Conservación de la Naturaleza y de los Recursos Naturales,active,15,Switzerland,Other Public Sector,iucn
BJ-IFU-3200700033415,Société Nationale des Eaux du Bénin (SONEB),active,15,Benin,Other Public Sector,soneb-benin
LB-MOI-18291,Arab Foundation for Freedoms and Equality,active,23,Lebanon,Regional NGO,afemena
US-GOV-1,Agencia de los Estados Unidos para el Desarrollo Internacional (USAID),active,10,United States,Government,usaid
GB-COH-07321996,Integrity Research and Consultancy Ltd,active,70,United Kingdom,Private Sector,integrity
