code,status,codeforiati:registry-identifier,codeforiati:organisation-type-code,codeforiati:organisation-type,codeforiati:hq-country-or-region
XM-OCHA-CERF,active,cerf,40,Multilateral,United States
NL-KVK-34106722,active,awepa,21,International NGO,Netherlands
NL-KVK-40594571,active,simavi,60,Foundation,Netherlands
NL-KVK-41118168,active,w-d,21,International NGO,Netherlands
NL-KVK-41198890,active,plannlno,21,International NGO,Netherlands
XI-IATI-OFID,active,ofid,40,Multilateral,Austria
XI-IATI-CWSEC,active,commonwealthsecretariat,40,Multilateral,(No country assigned)
NL-KVK-41201644,active,wemos,21,International NGO,Netherlands
US-EIN-26-1931968,active,pmo-us,21,International NGO,United States
NL-KVK-33185213,active,kit,21,International NGO,Netherlands
NL-KVK-41207580,active,hai,60,Foundation,Netherlands
NI-MIGOB-3602,active,fcam,60,Foundation,Nicaragua
NL-KVK-34159275,active,utz,21,International NGO,Netherlands
NL-KVK-41207989,active,nl-kvk-41207989,21,International NGO,Netherlands
UG-RSB-73316,active,achest,21,International NGO,Uganda
ZW-PVO-WO1789,active,fact,22,National NGO,Zimbabwe
GB-CHC-222655,active,lstm,80,"Academic, Training and Research",United Kingdom
KE-NCB-200201282375,active,uaf-africa,23,Regional NGO,Kenya
GB-CHC-1142516,active,colalife,22,National NGO,United Kingdom
XM-DAC-47059,active,idlo,40,Multilateral,Italy
NL-KVK-41149831,active,mm1,22,National NGO,Netherlands
NL-KVK-30204842,active,agriprofocus,60,Foundation,Netherlands
NL-KVK-41208813,active,dciecpatnl,22,National NGO,Netherlands
XM-DAC-41302,active,ilo,40,Multilateral,Switzerland
NL-KVK-27189542,active,nimd-hq,21,International NGO,Netherlands
NL-KVK-40530467,active,foenl,22,National NGO,Netherlands
US-EIN-47-4128047,active,friendsofpwyf,21,International NGO,United States
NL-KVK-58183167,active,hefoundation,60,Foundation,Netherlands
KE-NCB-93175,active,amrefkenya,21,International NGO,Kenya
NL-KVK-41150939,active,solidaridad-europe,21,International NGO,Netherlands
US-EIN-31-1812979,active,creausa-org,21,International NGO,India
NL-KVK-52957535,active,free_press_unlimited,21,International NGO,Netherlands
NL-KVK-41172933,active,waste,60,Foundation,Netherlands
FR-SIRET-77566669600015,active,sccf,21,International NGO,France
GB-CHC-1062638,active,dec-uk,22,National NGO,United Kingdom
NL-KVK-40409352,active,nlrc,21,International NGO,Netherlands
XI-IATI-IKI,active,bmu_iki,10,Government,Germany
NL-KVK-51756811,active,solidaridad,21,International NGO,Netherlands
NL-KVK-34111374,active,fwf,21,International NGO,Netherlands
NL-KVK-40530953,active,amnesty,21,International NGO,Netherlands
NL-KvK-41177601,active,mondiaalfnv,22,National NGO,Netherlands
NL-KVK-41177588,active,wnf,21,International NGO,Netherlands
AU-ACNC-19242959685,active,iwda,21,International NGO,Australia
NL-KVK-41180885,active,iucn_nl,21,International NGO,Netherlands
NL-KVK-41155305,active,tbi,21,International NGO,Netherlands
ZA-PBO-064-502,active,sjg,21,International NGO,South Africa
NL-KVK-27267681,active,climate_centre,21,International NGO,Netherlands
NL-KVK-9099028,active,wi,21,International NGO,(No country assigned)
PK-VSWA-511-2007,active,_admin,22,National NGO,Pakistan
NL-KVK-54436222,active,nl-kvk-54436222-27541,22,National NGO,Netherlands
GB-COH-01846493,active,aecom,70,Private Sector,United Kingdom
BE-BCE_KBO-0410057701,active,itm,15,Other Public Sector,Belgium
BE-BCE_KBO-0264814354,active,enabel,10,Government,Belgium
GB-CHC-287287,active,cepr,22,National NGO,United Kingdom
NL-KVK-41197577,active,sosnl,60,Foundation,Netherlands
NL-KVK-41211943,active,healthnet,21,International NGO,Netherlands
GB-SC-SCO45223,active,marysmeals,21,International NGO,United Kingdom
AF-MOE-1212,active,appro-af,80,"Academic, Training and Research",Afghanistan
GB-COH-04105827,active,manniondaniels,70,Private Sector,United Kingdom
BE-GTCF-630789842,active,appro-eu,80,"Academic, Training and Research",Belgium
NL-KVK-27195046,active,vngi,15,Other Public Sector,Netherlands
KE-RCO-C1-61,active,amrefhq,21,International NGO,Kenya
NL-KVK-09098104,active,wageningen_ur,80,"Academic, Training and Research",Netherlands
NL-KVK-27078545,active,fmo,30,Public Private Partnership,Netherlands
GB-COH-03846881,active,sddirect,70,Private Sector,United Kingdom
XI-IATI-CABI,active,cabi,40,Multilateral,(No country assigned)
US-EIN-52-1764268,active,bsr_admin,21,International NGO,United States
NL-KVK-40530156,active,cocnl_publisher,22,National NGO,Netherlands
NL-KVK-41078390,active,ejc,22,National NGO,Netherlands
KR-GOV-010,active,odakorea,10,Government,Korea (Republic of)
ET-MFA-0001989741,active,amrefeth,21,International NGO,Ethiopia
GB-COH-02651349,active,imcw_admin,70,Private Sector,United Kingdom
IN-MCA-U74140DL1998PLC097579,active,ipeglobal,70,Private Sector,India
GB-CHC-209603,active,rnli_international,21,International NGO,United Kingdom
GB-COH-05543952,active,cardnoem,70,Private Sector,United Kingdom
MW-NBM-R1527,active,amrefmw,22,National NGO,Malawi
XI-IATI-WAI,active,wai,21,International NGO,Netherlands
GB-CHC-1148143,active,sdn,21,International NGO,United Kingdom
GB-COH-04354941,active,soundseekers,21,International NGO,United Kingdom
US-DOS-64562614,active,oneacrefund,21,International NGO,(No country assigned)
MW-CNM-BCM-CF,active,bcm-cf,22,National NGO,Malawi
UG-NGB-5914-252,active,amrefug,22,National NGO,Uganda
GB-CHC-228248,active,odi,80,"Academic, Training and Research",United Kingdom
NL-KVK-53521129,active,idh,21,International NGO,Netherlands
MW-CNM-C076-1999,active,yoneco1997,22,National NGO,Malawi
XM-DAC-69-1,active,slovakaid,10,Government,Slovakia
US-EIN-20-1173866,active,omidyarnetwork,60,Foundation,United States
CA-CRA_ACR-101182509,active,cowater,70,Private Sector,Canada
FI-PRO-139407,active,caritasfin,22,National NGO,Finland
XM-DAC-903,active,ifcwbg,40,Multilateral,United States
US-EIN-550825466,active,intrahealth,21,International NGO,United States
NL-KVK-855689493,active,maydayrescue,60,Foundation,Netherlands
GB-COH-08828458,active,inpud_admin,21,International NGO,United Kingdom
US-EIN-13-4128413,active,tb-a,80,"Academic, Training and Research",United States
NL-KVK-41146461,active,deltares,60,Foundation,Netherlands
NO-BRC-871033552,active,npa,21,International NGO,Norway
GB-CHC-1145640,active,qedjt,60,Foundation,United Kingdom
ZA-PBO-930040668,active,orbis_africa,21,International NGO,South Africa
XM-DAC-1409,active,eif,40,Multilateral,Switzerland
IM-CR-024714B,active,openmindedly,70,Private Sector,Isle of Man
GB-COH-08333641,active,delivery_associates,70,Private Sector,United Kingdom
XM-DAC-41110,active,unaids,40,Multilateral,Switzerland
NL-KVK-41209946,active,mainline,60,Foundation,Netherlands
GB-COH-SC100833,active,lts,70,Private Sector,United Kingdom
GB-CHC-1126281,active,hrf,21,International NGO,United Kingdom
US-EIN-262681792,active,3ie,21,International NGO,United States
BE-BCE_KBO-0453475391,active,sfcg,21,International NGO,Belgium
US-EIN-13-5660870,active,irc_inc,21,International NGO,United States
NP-SWC-27288,active,bvs-nepal,22,National NGO,Nepal
NL-KVK-56083459,active,wpp,21,International NGO,Netherlands
GB-COH-01650169,active,ecuk,70,Private Sector,United Kingdom
US-EIN-471065461,active,msmgf,21,International NGO,United States
US-EIN-56-1071085,active,ipas,21,International NGO,United States
NG-CAC-495140,active,wep,22,National NGO,Nigeria
DK-CVR-36980214,active,dca,21,International NGO,Denmark
NL-KVK-41214768,active,gnpplus,21,International NGO,Netherlands
GB-COH-SC349355,active,nswp,21,International NGO,United Kingdom
NL-KVK-34219433,active,max-foundation,60,Foundation,Netherlands
CH-FDJP-66029860165,active,ida,21,International NGO,Switzerland
US-EIN-27-5026463,active,draf,21,International NGO,United States
DK-CVR-29439915,active,caritas_denmark,22,National NGO,Denmark
NL-KVK-66926262,active,wws,21,International NGO,Netherlands
GB-COH-03054929,active,healthpartners-international,70,Private Sector,United Kingdom
GB-COH-OC305127,active,bdo,70,Private Sector,United Kingdom
US-EIN-203908371,active,worldeconomicforum,21,International NGO,United States
BW-CIPA-CO20151011,active,itpc,21,International NGO,Botswana
TZ-BRLA-4368,active,amreftz,21,International NGO,"Tanzania, United Republic of"
US-EIN-52-1238773,active,wedo,21,International NGO,United States
GB-COH-NI630024,active,siren,70,Private Sector,United Kingdom
GB-COH-8159144,active,cost_uk,21,International NGO,(No country assigned)
BE-BCE_KBO-0550758080,active,eip,15,Other Public Sector,Belgium
NL-KVK-33226495,active,adsb,70,Private Sector,Netherlands
ZA-NPO-029-864,active,civicus,21,International NGO,South Africa
NG-CAC-IT-23286,active,ccdnigeria,22,National NGO,Nigeria
XI-IATI-UNPF,active,unpf,40,Multilateral,(No country assigned)
CH-FDJP-66006990023,active,act_alliance,21,International NGO,Switzerland
XM-DAC-47064,active,inbar,40,Multilateral,(No country assigned)
NL-KVK-27251823,active,stad,21,International NGO,Netherlands
XM-DAC-236,active,mefbenin,10,Government,Benin
DK-CVR-44623528,active,cowi,15,Other Public Sector,Denmark
NL-KVK-34148682,active,afewinternational,21,International NGO,Netherlands
XM-DAC-30011,active,iucn,15,Other Public Sector,Switzerland
BJ-IFU-3200700033415,active,soneb-benin,15,Other Public Sector,Benin
LB-MOI-18291,active,afemena,23,Regional NGO,Lebanon
US-GOV-1,active,usaid,10,Government,United States
GB-COH-07321996,active,integrity,70,Private Sector,United Kingdom
CH-FDJP-109458452,active,dcaf,60,Foundation,Switzerland
US-EIN-943287156,active,apc,21,International NGO,United States
KE-RCO-201036685,active,uhai-eashri,60,Foundation,Kenya
CZ-ICO-25755277,active,pin,21,International NGO,Czechia
BE-BCE_KBO-0427736148,active,trias,22,National NGO,Belgium
IE-CHY-20009601,active,trocaire,21,International NGO,Ireland
GB-CHC-1171353,active,gif,21,International NGO,United Kingdom
GB-COH-04161656,active,icf,70,Private Sector,United Kingdom
BJ-IFU-6201408024805,active,ancb_benin,22,National NGO,Benin
US-EIN-13-2890727,active,guttmacher,21,International NGO,United States
XM-DAC-41301,active,fao,40,Multilateral,Italy
CH-FDJP-106064950,active,medair,21,International NGO,Switzerland
NL-KVK-27302841,active,giro555,21,International NGO,Netherlands
XM-DAC-928,active,who,40,Multilateral,Switzerland
GB-CHC-1154230,active,girlsnotbrides,21,International NGO,United Kingdom
NL-KVK-41152832,active,clingendael,80,"Academic, Training and Research",Netherlands
NL-KVK-41160229,active,pumnl,21,International NGO,Netherlands
NL-KVK-41153698,active,wfm-igp,21,International NGO,Netherlands
GB-CHC-1091105,active,mrf,21,International NGO,United Kingdom
PH-SEC-FN200806591,active,wgnrr_iati,21,International NGO,Philippines
US-EIN-27-3755556,active,ideo_org,21,International NGO,United States
CH-FDJP-66004229946,active,weforum_geneva,21,International NGO,Switzerland
BE-BCE_KBO-0410644946,active,cibe,22,National NGO,Belgium
CH-FDJP-CHE105834763,active,hsi,21,International NGO,Switzerland
NL-KVK-30195730,active,mvo_nederland,15,Other Public Sector,Netherlands
ML-NIF-400100027H,active,pca-gire,10,Government,Mali
US-EIN-13-1624114,active,nef_usa,21,International NGO,United States
US-EIN-58-1454716,active,carter-center,21,International NGO,United States
NL-KVK-41169161,active,icdi,21,International NGO,Netherlands
NL-KVK-27290536,active,hiil_mfa,60,Foundation,Netherlands
PS-MOI-RA-22220-A,active,uawc,22,National NGO,"Palestine, State of"
NL-KVK-53815211,active,acwfs_vu,80,"Academic, Training and Research",Netherlands
ET-MOT-020/4/007,active,ehpea,22,National NGO,Ethiopia
NL-KVK-41197411,active,ibfd,80,"Academic, Training and Research",Netherlands
NL-KVK-67143555,active,united_work,22,National NGO,Netherlands
NL-KVK-27102631,active,unicefnl,22,National NGO,Netherlands
XM-DAC-6-4,active,aics,10,Government,Italy
US-EIN-26-4129153,active,cpi,80,"Academic, Training and Research",United States
LR-MPEA-NGO-AC-0298,active,libymca,22,National NGO,Liberia
KE-RCO-CPR/2009/5689,active,tmea,23,Regional NGO,Kenya
TR-MOI-27-018-163,active,ldsps,22,National NGO,Turkey
BE-BCE_KBO-0418766123,active,vlir-uos,80,"Academic, Training and Research",Belgium
AR-CENOC-16969-A,active,fms,60,Foundation,Argentina
US-EIN-58-2368165,active,unf,22,National NGO,United States
XM-DAC-47058,active,idea,40,Multilateral,Sweden
NL-KVK-41146484,active,ihedelft,80,"Academic, Training and Research",Netherlands
US-EIN-13-2626135,active,tns,21,International NGO,United States
MZ-NUIT-700098168,active,aias,10,Government,Mozambique
XM-DAC-46009,active,caribank,40,Multilateral,(No country assigned)
US-EIN-463668128,active,w_r_c,21,International NGO,United States
MZ-NUIT-50039061,active,agencia_do_zambeze,10,Government,Mozambique
US-EIN-56-2460366,active,cdi,21,International NGO,United States
GB-COH-RC000658,active,leedsuni,80,"Academic, Training and Research",United Kingdom
MW-MRA-20125995,active,mmh,22,National NGO,Malawi
GB-CHC-1140276,active,inso,21,International NGO,United Kingdom
XM-DAC-41116,active,un-environment,40,Multilateral,(No country assigned)
MW-RG-2977,active,pcst,22,National NGO,Malawi
GB-CHC-802353,active,ethiopiaiduk,21,International NGO,United Kingdom
NL-KVK-70292361,active,atsf,21,International NGO,Netherlands
BE-BCE_KBO-0408643875,active,oxsol,22,National NGO,Belgium
US-EIN-33-1112770,active,clasp,21,International NGO,United States
NL-KVK-58279199,active,atnf,21,International NGO,Netherlands
GB-CHC-1106349,active,inasp,21,International NGO,United Kingdom
BD-NAB-1102,active,pstc_1102,22,National NGO,Bangladesh
JO-CCD-200138796,active,horizons,22,National NGO,Jordan
GB-CHC-1082565,active,hiuk,80,"Academic, Training and Research",United Kingdom
ET-CSA-0638,active,sacethiopia,22,National NGO,Ethiopia
RS-APR-17062603,active,caritas_serbia,22,National NGO,(No country assigned)
NL-KVK-41185216,active,ncea,60,Foundation,Netherlands
US-EIN-23-7069110,active,oxfamus,21,International NGO,United States
KE-NCB-218/051/15179/10159,active,kesho_kenya,22,National NGO,Kenya
KE-NCB-OP21805193101154,active,amurt_kenya,22,National NGO,Kenya
KE-NCB-KENCBOP218051200802235390,active,pgi_kenya,22,National NGO,Kenya
LB-MOI-26_AD,active,berytech,60,Foundation,Lebanon
NL-KVK-41150085,active,nuffic20171017,80,"Academic, Training and Research",Netherlands
BJ-IFU-6201200599008,active,alcrer-1,22,National NGO,Benin
SE-ON-802017-3517,active,diakonia802017-3517,21,International NGO,Sweden
BJ-IFU-6201101048400,active,swb_1,22,National NGO,Benin
GB-GOV-13,active,beis,10,Government,United Kingdom
US-EIN-13-1687001,active,populationcouncil,80,"Academic, Training and Research",United States
SN-NINEA-621108990A0,active,ipao,21,International NGO,Senegal
NL-KVK-41159889,active,pcf,21,International NGO,Netherlands
US-EIN-11-3803281,active,acet,23,Regional NGO,United States
GB-COH-09288843,active,the_power_of_nutrition,60,Foundation,United Kingdom
DK-CVR-20699310,active,drc,21,International NGO,Denmark
GB-CHC-1051681,active,aiuk,21,International NGO,United Kingdom
GB-EDU-133784,active,universityofbirmingham,80,"Academic, Training and Research",United Kingdom
MZ-NUIT-600000381,active,fipag,15,Other Public Sector,Mozambique
ZW-PVO-15/2003,active,ciz,21,International NGO,Zimbabwe
US-EIN-521257057,active,wri,21,International NGO,United States
KE-RSO-14210,active,udpk,22,National NGO,Kenya
BE-BCE_KBO-0435563751,active,memisa,80,"Academic, Training and Research",Belgium
ZW-PVO-26/79,active,wvz-gec,21,International NGO,Zimbabwe
NL-KVK-34271281,active,worldwaternet,60,Foundation,Netherlands
NL-KVK-24316726,active,ecorysnl,70,Private Sector,Netherlands
XM-DAC-47136,active,gggi,40,Multilateral,(No country assigned)
BE-BCE_KBO-0448755949,active,csa,22,National NGO,Belgium
NL-KVK-34370207,active,uva_org,80,"Academic, Training and Research",Netherlands
NL-KVK-41201198,active,thp_org,21,International NGO,Netherlands
BE-BCE_KBO-0451857573,active,vvsg,15,Other Public Sector,Belgium
BE-BCE_KBO-0425410524,active,sosfaim,22,National NGO,Belgium
ET-CSA-0486,active,woda_0486,80,"Academic, Training and Research",Ethiopia
BE-BCE_KBO-0423616717,active,vvob,15,Other Public Sector,Belgium
BE-BCE_KBO-0423588904,active,a-t,80,"Academic, Training and Research",Belgium
BE-BCE_KBO-0449400604,active,ngo-federatie,22,National NGO,Belgium
CA-CRA_ACR-872374426,active,wcc,21,International NGO,Canada
KE-NCB-218/051/93132/90,active,fida,22,National NGO,Kenya
IN-MCA-U74140WB1983PTC036093,active,pwcplindia,70,Private Sector,India
ET-CSA-1063,active,orbis_ethiopia,22,National NGO,Ethiopia
BE-BCE_KBO-0461076236,active,ct-admin,22,National NGO,Belgium
BE-BCE_KBO-0418015461,active,ef_,22,National NGO,Belgium
GB-CHC-1076822,active,sci,21,International NGO,United Kingdom
BE-BCE_KBO-0422717486,active,lc,22,National NGO,Belgium
BE-BCE_KBO-0451516390,active,brulocalis,15,Other Public Sector,Belgium
BE-BCE_KBO-0421207751,active,cncd,22,National NGO,Belgium
BE-BCE_KBO-0418282311,active,g3w-m3m_admin,22,National NGO,Belgium
BE-BCE_KBO-0416486821,active,omdm,22,National NGO,Belgium
BE-BCE_KBO-0451461655,active,uvcw,15,Other Public Sector,Belgium
XM-OCHA-CBPF,active,unocha-cbpf,40,Multilateral,(No country assigned)
BE-BCE_KBO-0424198222,active,actec,22,National NGO,Belgium
BE-BCE_KBO-0408908151,active,idp,22,National NGO,Belgium
NP-SWC-1844,active,crehpa,22,National NGO,Nepal
US-EIN-237297651,active,orbis_international,21,International NGO,United States
BE-BCE_KBO-0474198059,active,africalia,15,Other Public Sector,Belgium
BE-BCE_KBO-0419872616,active,tfb_admin1,22,National NGO,Belgium
BE-BCE_KBO-0413986102,active,wsm,22,National NGO,Belgium
NG-CAC-692943,active,ahead,80,"Academic, Training and Research",Nigeria
BE-BCE_KBO-0461634084,active,rkiv,22,National NGO,Belgium
BE-BCE_KBO-0410661673,active,scibelgium,22,National NGO,Belgium
BE-BCE_KBO-0432552989,active,fos,22,National NGO,Belgium
BE-BCE_KBO-0445412518,active,iiwe,22,National NGO,Belgium
AF-MOE-138,active,akf_afghanistan,60,Foundation,Afghanistan
BE-BCE_KBO-0415627875,active,ulbcoop,22,National NGO,Belgium
DK-CVR-37295728,active,niras,70,Private Sector,Denmark
NL-KVK-62066064,active,gogla,70,Private Sector,Netherlands
US-EIN-06-1608361,active,aphrc,21,International NGO,United States
BE-BCE_KBO-0409451054,active,etmkdw,22,National NGO,Belgium
ZW-ROD-MA988/87,active,wag-1983,22,National NGO,Zimbabwe
BE-BCE_KBO-0408628435,active,svdbskb_admin,21,International NGO,Belgium
ET-CSA-1233,active,engenderhealth_eth,21,International NGO,Ethiopia
US-EIN-52-2145827,active,chemonics,70,Private Sector,United States
BE-BCE_KBO-0441988715,active,fairtrade_be,22,National NGO,Belgium
LB-MOI-497,active,arcfge,22,National NGO,Lebanon
BE-BCE_KBO-0462132150,active,crb-ai_admin,22,National NGO,Belgium
BE-BCE_KBO-0431955945,active,shc,80,"Academic, Training and Research",Belgium
BE-BCE_KBO-0415880570,active,apefe,15,Other Public Sector,Belgium
BE-BCE_KBO-0433439550,active,dba,22,National NGO,Belgium
BE-BCE_KBO-0463455904,active,cdeb-kvhb_admin,22,National NGO,Belgium
BE-BCE_KBO-0432235661,active,hib,22,National NGO,Belgium
BE-BCE_KBO-0415426155,active,mmha,22,National NGO,Belgium
NL-KVK-34185938,active,atmf,60,Foundation,Netherlands
BE-BCE_KBO-0442168263,active,vsfbelgium,22,National NGO,Belgium
BE-BCE_KBO-0419189557,active,rc4d,22,National NGO,Belgium
BE-BCE_KBO-0454555163,active,rcn,22,National NGO,Belgium
BE-BCE_KBO-0460162753,active,medecins,22,National NGO,Belgium
BE-BCE_KBO-0413119733,active,via-db,22,National NGO,Belgium
BE-BCE_KBO-0408022778,active,djapo,22,National NGO,Belgium
BE-BCE_KBO-0420656336,active,rikolto_belgium,22,National NGO,Belgium
BE-BCE_KBO-0407562029,active,ub,22,National NGO,Belgium
BE-BCE_KBO-0662878501,active,rikolto,60,Foundation,Belgium
BE-BCE_KBO-0418088113,active,bd,22,National NGO,Belgium
BE-BCE_KBO-0417299047,active,protos,22,National NGO,Belgium
BE-BCE_KBO-0479866027,active,sg,80,"Academic, Training and Research",Belgium
BE-BCE_KBO-0478060441,active,bismsi,22,National NGO,Belgium
BE-BCE_KBO-0479222461,active,bos_plus_tropen,22,National NGO,Belgium
BE-BCE_KBO-0432622077,active,fian-belgium,22,National NGO,Belgium
BE-BCE_KBO-0463729878,active,bac,22,National NGO,Belgium
BE-BCE_KBO-0432624255,active,solsoc,22,National NGO,Belgium
BE-BCE_KBO-0408095925,active,ada,22,National NGO,Belgium
BE-BCE_KBO-0416934803,active,fucid,22,National NGO,Belgium
BE-BCE_KBO-0418399305,active,cjp,22,National NGO,Belgium
BE-BCE_KBO-0408656248,active,wwf-be,22,National NGO,Belgium
BE-BCE_KBO-0472089102,active,geomoun,22,National NGO,Belgium
BE-BCE_KBO-0408256667,active,congodorpen,22,National NGO,Belgium
GB-COH-04644326,active,aak,70,Private Sector,United Kingdom
BE-BCE_KBO-0409597544,active,foncaba,22,National NGO,Belgium
BE-BCE_KBO-0432503697,active,eclosio,22,National NGO,Belgium
BE-BCE_KBO-0420790948,active,ucos,22,National NGO,Belgium
BE-BCE_KBO-0421210424,active,111111_publisher,22,National NGO,Belgium
BE-BCE_KBO-0415365777,active,oww,22,National NGO,Belgium
JO-MSD-2013011100066,active,qrfed,22,National NGO,Jordan
NL-KVK-09119363,active,practica,60,Foundation,Netherlands
US-EIN-22-3087809,active,irex,21,International NGO,United States
XM-DAC-47066,active,iom,40,Multilateral,Switzerland
BE-BCE_KBO-0416867297,active,kiyo,21,International NGO,Belgium
US-EIN-900634376,active,c40cities,80,"Academic, Training and Research",United States
GB-CHC-1135700,active,baag,21,International NGO,United Kingdom
BE-BCE_KBO-0546740696,active,ares,80,"Academic, Training and Research",Belgium
BE-BCE_KBO-0474912493,active,dynamo_international,22,National NGO,Belgium
BE-BCE_KBO-0445741823,active,quinoa,22,National NGO,Belgium
BE-BCE_KBO-0443262185,active,ec,22,National NGO,Belgium
BE-BCE_KBO-0448723978,active,msv,22,National NGO,Belgium
BE-BCE_KBO-0446340550,active,cadtm,22,National NGO,Belgium
BE-BCE_KBO-0415499795,active,iteco,22,National NGO,Belgium
NL-KVK-40478591,active,knvb,15,Other Public Sector,Netherlands
ES-CIF-G81164105,active,acfspain,21,International NGO,Spain
BE-BCE_KBO-0406694670,active,damien-foundation,22,National NGO,Belgium
RW-RGB-101-RGB-NGO-2014,active,uwezo_youth_empowerment,22,National NGO,Rwanda
NL-KVK-41208024,active,aidenvironment,60,Foundation,Netherlands
BE-BCE_KBO-0425420917,active,pib,22,National NGO,Belgium
NL-KVK-32102434,active,ruaf,60,Foundation,Netherlands
US-EIN-030358029,active,pmc,21,International NGO,United States
BE-BCE_KBO-0430826290,active,mondefemmes,22,National NGO,Belgium
BE-BCE_KBO-0417549465,active,cec,22,National NGO,Belgium
DK-CVR-25191501,active,danmission,22,National NGO,Denmark
IN-MHA-337680017,active,needs,22,National NGO,India
CO-RUE-860049972,active,orientame,22,National NGO,Colombia
CH-FDJP-CHE102197003,active,ifac,21,International NGO,Switzerland
US-EIN-27-1414646,active,chai,21,International NGO,United States
US-EIN-13-3327220,active,aahusa,21,International NGO,United States
GB-COH-07157505,active,odi_sales_ltd,80,"Academic, Training and Research",United Kingdom
UG-NGB-5914-129,active,avsi_uganda,21,International NGO,Uganda
GH-DSW-2046,active,awdf,23,Regional NGO,Ghana
DE-CR-BonnVR8726,active,ifoam,21,International NGO,Germany
GB-COH-05126149,active,the_mentor_initiative,21,International NGO,United Kingdom
BD-NAB-0271,active,bnps,22,National NGO,Bangladesh
GB-CHC-1112842,active,ti-uk,21,International NGO,United Kingdom
GB-CHC-1119168,active,e4i,21,International NGO,United Kingdom
US-EIN-75-3130860,active,civic_admin,21,International NGO,United States
GB-CHC-1047653,active,raleigh_int,21,International NGO,United Kingdom
BE-BCE_KBO-0410757386,active,solidagro_admin,80,"Academic, Training and Research",Belgium
NL-KVK-41199723,active,nlr,21,International NGO,Netherlands
TZ-TRA-101-091-759,active,esrf,80,"Academic, Training and Research","Tanzania, United Republic of"
NL-KVK-24365461,active,rtp,21,International NGO,Netherlands
NL-KVK-08134161,active,vei_nl,70,Private Sector,Netherlands
XM-DAC-21018,active,ifrcrcs,21,International NGO,Switzerland
UG-NGB-10890,active,bucksfarm,22,National NGO,Uganda
XM-DAC-43000,active,imf,40,Multilateral,United States
GB-CHC-314137,active,acu,80,"Academic, Training and Research",United Kingdom
NL-KVK-56185154,active,npm,22,National NGO,Netherlands
GB-CHC-1113101,active,tropicalhealth,21,International NGO,United Kingdom
US-EIN-52-0595110,active,gi-jhu,80,"Academic, Training and Research",United States
NL-KVK-56821743,active,mdf,60,Foundation,Netherlands
CH-FDJP-CHE100871337,active,icva,21,International NGO,Switzerland
US-EIN-521750875,active,iraq_foundation,21,International NGO,United States
ES-CIF-G-8236803,active,oxfamintermon,21,International NGO,Spain
XM-DAC-41123,active,unido,40,Multilateral,(No country assigned)
GH-DSW-4711,active,savsign-org,22,National NGO,Ghana
BD-NAB-0682,active,dorp-org,22,National NGO,Bangladesh
BE-BCE_KBO-0453072647,active,ifsi_isvi,22,National NGO,Belgium
MW-CNM-C057/1998,active,cavwoc,22,National NGO,Malawi
NL-KVK-65306198,active,equileap,21,International NGO,Netherlands
UG-NGB-1826,active,flepuganda,22,National NGO,Uganda
GB-COH-RC000631,active,ucl,80,"Academic, Training and Research",United Kingdom
TZ-TRA-101-304-795,active,umati,22,National NGO,"Tanzania, United Republic of"
KE-NCB-218/051/96110/823,active,csa-kenya,80,"Academic, Training and Research",Kenya
GB-CHC-1114727,active,jocc_uk,21,International NGO,(No country assigned)
BE-BCE_KBO-0460240749,active,lftw-be,22,National NGO,Belgium
JO-CCD-2826,active,wvsyria,21,International NGO,Syrian Arab Republic
IN-MHA-231650063,active,vhai-org,80,"Academic, Training and Research",(No country assigned)
DK-CVR-20074035,active,adra-dk,22,National NGO,Denmark
KE-RCO-78260,active,ads-nyanza,15,Other Public Sector,Kenya
HK-CR-1494242,active,solidaridad-ssea,21,International NGO,India
GH-DSW-5574,active,solidaridad-waf,21,International NGO,Ghana
XI-IATI-FIABEL,active,fiabel,22,National NGO,Belgium
KE-NCB-218/051/9384/74,active,csom1,22,National NGO,Kenya
GB-COH-07627789,active,dcapitalpartners,30,Public Private Partnership,United Kingdom
JO-MSD-2009011100178,active,paf_2018,60,Foundation,Jordan
GB-CHC-1157722,active,irise_int,21,International NGO,United Kingdom
TZ-TRA-102316134,active,idydc,22,National NGO,"Tanzania, United Republic of"
TZ-TRA-116315386,active,bawacecy-tz,22,National NGO,"Tanzania, United Republic of"
TZ-TRA-110-664-087,active,rc2africa,22,National NGO,"Tanzania, United Republic of"
US-EIN-14-1945286,active,gdi,21,International NGO,United States
TZ-TRA-121406209,active,cst,22,National NGO,"Tanzania, United Republic of"
GB-COH-06735120,active,whpca,21,International NGO,United Kingdom
GB-COH-RC000797,active,uom,80,"Academic, Training and Research",United Kingdom
IT-CF-97091470589,active,intersos_main,21,International NGO,Italy
GB-GOV-14,active,dfe,10,Government,United Kingdom
US-EIN-27-1661997,active,givedirectly,21,International NGO,United States
MM-MHA-1/Local/0047,active,kmss,22,National NGO,Myanmar
CA-CRA_ACR-817387277,active,mastercard-foundation,60,Foundation,Canada
BD-NAB-002,active,brac_admin2,21,International NGO,Bangladesh
GB-CHC-223106,active,rcgp-international,22,National NGO,United Kingdom
US-EIN-042312909,active,bwh,80,"Academic, Training and Research",United States
US-EIN-237413005,active,fhi360,21,International NGO,United States
XM-DAC-47056,active,icraf_,80,"Academic, Training and Research",Kenya
